video_id,date,title,mp3_url
fbc-091819mw-thy-son-liveth,20190918,Thy Son Liveth,http://fbcministries.net/sermons/Elijah_And_Elisha_Series/091819MW-Thy_Son_Liveth.mp3
fbc-091519am-filled-with-the-spirit,20190915,Filled With The Spirit,http://fbcministries.net/sermons/091519AM-Filled_With_The_Spirit.mp3
fbc-091519ss-a-desire-to-see-god-work,20190915,A Desire To See God Work,http://fbcministries.net/sermons/091519SS-A_Desire_To_See_God_Work.mp3
fbc-091119mw-elijah-at-zarephath,20190911,Elijah At Zarephath,http://fbcministries.net/sermons/Elijah_And_Elisha_Series/091119MW-Elijah_At_Zarephath.mp3
fbc-090819am-walk-circumspectly,20190908,Walk Circumspectly,http://fbcministries.net/sermons/090819AM-Walk_Circumspectly.mp3
fbc-090819ss-thou-art-my-hiding-place,20190908,Thou Art My Hiding Place,http://fbcministries.net/sermons/090819SS-Thou_Art_My_Hiding_Place.mp3
fbc-090419mw-the-brook-dried-up,20190904,The Brook Dried Up,http://fbcministries.net/sermons/Elijah_And_Elisha_Series/090419MW-The_Brook_Dried_Up.mp3
fbc-090119am-walk-as-children-of-light,20190901,Walk As Children Of Light,http://fbcministries.net/sermons/090119AM-Walk_As_Children_Of_Light.mp3
fbc-090119ss-thy-word-is-a-lamp-unto-my-feet,20190901,Thy Word Is A Lamp Unto My Feet,http://fbcministries.net/sermons/090119SS-Thy_Word_Is_A_Lamp_Unto_My_Feet.mp3
fbc-082819mw-elijah-at-cherith,20190828,Elijah At Cherith,http://fbcministries.net/sermons/Elijah_And_Elisha_Series/082819MW-Elijah_At_Cherith.mp3
fbc-082519am-walk-in-love,20190825,Walk In Love,http://fbcministries.net/sermons/082519AM-Walk_In_Love.mp3
fbc-082119mw-elijah-the-tishbite,20190821,Elijah The Tishbite,http://fbcministries.net/sermons/Elijah_And_Elisha_Series/082119MW-Elijah_The_Tishbite.mp3
fbc-081819am-be-ye-kind,20190818,Be Ye Kind,http://fbcministries.net/sermons/081819AM-Be_Ye_Kind.mp3
fbc-081819ss-the-bible-stands,20190818,The Bible Stands,http://fbcministries.net/sermons/081819SS-The_Bible_Stands.mp3
fbc-081119am-speech-that-edifies,20190811,Speech That Edifies,http://fbcministries.net/sermons/081119AM-Speech_That_Edifies.mp3
